id,year_month,variable,value,monthly_screen_time,app_to_screen_ratio
AS14.03,2014-04,appCat.social,81.916,134705.51399040222,0.000608111706591584
AS14.03,2014-04,appCat.travel,877.643,134705.51399040222,0.006515271528250374
AS14.03,2014-04,appCat.unknown,3445.1699999999996,134705.51399040222,0.02557556775475032
AS14.03,2014-04,appCat.utilities,152.433,134705.51399040222,0.001131601784399567
AS14.03,2014-05,appCat.builtin,4142.988,29407.851000070576,0.1408803383827692
AS14.03,2014-05,appCat.communication,6555.825,29407.851000070576,0.22292771409866932
AS14.03,2014-05,appCat.entertainment,16421.26,29407.851000070576,0.55839714367298
AS14.03,2014-05,appCat.finance,56.467,29407.851000070576,0.0019201335044802996
AS14.03,2014-05,appCat.office,89.973,29407.851000070576,0.003059489113971098
AS14.03,2014-05,appCat.other,1395.204,29407.851000070576,0.04744324908326867
AS14.03,2014-05,appCat.travel,364.904,29407.851000070576,0.012408387134412653
AS14.03,2014-05,appCat.unknown,246.598,29407.851000070576,0.008385447817979227
AS14.03,2014-05,appCat.utilities,58.597,29407.851000070576,0.0019925631424023258
AS14.05,2014-03,appCat.builtin,6859.532,98854.35000205041,0.06939028985429292
AS14.05,2014-03,appCat.communication,71204.994,98854.35000205041,0.7203020807736138
AS14.05,2014-03,appCat.entertainment,19537.164,98854.35000205041,0.1976358551707109
AS14.05,2014-03,appCat.other,2410.812,98854.35000205041,0.024387515571646524
AS14.05,2014-03,appCat.social,1497.229,98854.35000205041,0.015145807948450876
AS14.05,2014-03,appCat.unknown,1131.201,98854.35000205041,0.01144310796617991
AS14.05,2014-03,appCat.utilities,1099.299,98854.35000205041,0.011120390756473525
AS14.05,2014-04,appCat.builtin,15331.239,149874.42600512507,0.10229389635477727
AS14.05,2014-04,appCat.communication,103573.643,149874.42600512507,0.6910694890431688
AS14.05,2014-04,appCat.entertainment,17109.754,149874.42600512507,0.11416059734844235
AS14.05,2014-04,appCat.office,21.127,149874.42600512507,0.00014096467665055507
AS14.05,2014-04,appCat.other,6577.427,149874.42600512507,0.04388625314751884
AS14.05,2014-04,appCat.social,19403.514,149874.42600512507,0.12946514303471948
AS14.05,2014-04,appCat.travel,5.029,149874.42600512507,3.355475736619688e-05
AS14.05,2014-04,appCat.unknown,2965.486,149874.42600512507,0.01978647110814351
AS14.05,2014-04,appCat.utilities,931.523,149874.42600512507,0.006215356581036353
AS14.05,2014-05,appCat.builtin,4171.945,25581.221996545795,0.16308622788087812
AS14.05,2014-05,appCat.communication,17430.203,25581.221996545795,0.6813670981923218
AS14.05,2014-05,appCat.entertainment,920.434,25581.221996545795,0.03598084564233425
AS14.05,2014-05,appCat.other,762.3530000000001,25581.221996545795,0.029801273766473697
AS14.05,2014-05,appCat.social,2177.977,25581.221996545795,0.08513967785800419
AS14.05,2014-05,appCat.unknown,444.174,25581.221996545795,0.017363283116810305
AS14.05,2014-05,appCat.utilities,77.462,25581.221996545795,0.003028080519783598
AS14.06,2014-03,appCat.builtin,4863.171,53571.5250031948,0.09077902859233482
AS14.06,2014-03,appCat.communication,20392.366,53571.5250031948,0.3806568134617015
AS14.06,2014-03,appCat.entertainment,15734.334,53571.5250031948,0.2937070393098137
AS14.06,2014-03,appCat.game,2386.3320000000003,53571.5250031948,0.04454478381673265
AS14.06,2014-03,appCat.office,382.415,53571.5250031948,0.007138400483786755
AS14.06,2014-03,appCat.other,1011.263,53571.5250031948,0.01887687535383195
AS14.06,2014-03,appCat.social,14838.835,53571.5250031948,0.2769910880661894
AS14.06,2014-03,appCat.travel,644.191,53571.5250031948,0.01202487702117091
AS14.06,2014-03,appCat.weather,4.859,53571.5250031948,9.070117006581813e-05
AS14.06,2014-04,appCat.builtin,24850.523,230049.77099990848,0.10802237660132201
AS14.06,2014-04,appCat.communication,104428.953,230049.77099990848,0.4539406952943306
AS14.06,2014-04,appCat.entertainment,50775.969,230049.77099990848,0.22071732034030236
AS14.06,2014-04,appCat.game,3607.375,230049.77099990848,0.015680845863573736
AS14.06,2014-04,appCat.office,1801.998,230049.77099990848,0.007833078868836245
AS14.06,2014-04,appCat.other,3255.471,230049.77099990848,0.014151159489749265
AS14.06,2014-04,appCat.social,66116.698,230049.77099990848,0.2874017118670651
AS14.06,2014-04,appCat.travel,5383.832,230049.77099990848,0.02340290093139081
AS14.06,2014-04,appCat.weather,96.98100000000001,230049.77099990848,0.0004215652968419542
AS14.06,2014-05,appCat.builtin,3228.123,38182.3219974041,0.08454496298626026
AS14.06,2014-05,appCat.communication,18004.901,38182.3219974041,0.47155070876056465
AS14.06,2014-05,appCat.entertainment,6596.6939999999995,38182.3219974041,0.1727682774360472
AS14.06,2014-05,appCat.office,430.823,38182.3219974041,0.011283310638606273
AS14.06,2014-05,appCat.other,947.54,38182.3219974041,0.02481619635559148
AS14.06,2014-05,appCat.social,13176.93,38182.3219974041,0.34510551770256037
