row_number,id,time,variable,value,deviation
70401,AS14.09,2014-04-07 17:45:24.747,screen,538.969000101089,13.21916360079794
70426,AS14.09,2014-04-08 09:43:01.071,screen,303.532999992371,10.090476328886616
70532,AS14.09,2014-04-09 00:17:36.811,screen,785.094999790192,17.37928544114285
70571,AS14.09,2014-04-09 18:54:54.730,screen,321.458999872208,8.944093645197992
70595,AS14.09,2014-04-10 00:00:15.523,screen,501.943000078201,5.532260273775575
70630,AS14.09,2014-04-11 11:39:02.121,screen,555.385999917984,13.168549125788177
70631,AS14.09,2014-04-11 11:59:39.203,screen,3778.54600000381,21.51926905493972
70699,AS14.09,2014-04-12 18:45:38.015,screen,351.40499997139,8.385221677944187
70728,AS14.09,2014-04-13 21:32:39.019,screen,283.806999921799,4.8548293046212665
70799,AS14.09,2014-04-15 23:37:38.276,screen,271.424000024796,4.12962666847452
70914,AS14.09,2014-04-19 11:40:55.375,screen,390.223999977112,11.803134208743849
70942,AS14.09,2014-04-19 23:33:14.424,screen,425.379999876022,8.348059354418249
70978,AS14.09,2014-04-22 00:21:25.312,screen,412.102999925613,7.852650432958801
70983,AS14.09,2014-04-22 20:36:00.361,screen,724.542999982834,5.290315048731703
71001,AS14.09,2014-04-23 09:17:11.571,screen,963.463999986649,8.63891703788877
71020,AS14.09,2014-04-23 21:02:29.561,screen,333.299999952316,5.282502800732059
71093,AS14.09,2014-04-26 15:10:12.497,screen,198.09700012207,5.783208984051834
71109,AS14.09,2014-04-26 22:00:21.144,screen,337.480000019073,5.074854511150841
24507,AS14.12,2014-03-27 14:00:00.000,activity,0.543859649122807,6.0556692865099295
24535,AS14.12,2014-03-28 18:00:00.000,activity,0.591666666666667,8.090232839875876
24554,AS14.12,2014-03-29 13:00:00.000,activity,0.533333333333333,4.6299372074633744
24648,AS14.12,2014-04-02 12:00:00.000,activity,0.616666666666667,11.5894702317399
24674,AS14.12,2014-04-03 15:00:00.000,activity,0.675,3.0007689065784238
24698,AS14.12,2014-04-04 15:00:00.000,activity,0.559322033898305,9.738874169072636
24699,AS14.12,2014-04-04 16:00:00.000,activity,0.677966101694915,3.3821593389164404
24721,AS14.12,2014-04-05 14:00:00.000,activity,0.8,3.358464085441826
24750,AS14.12,2014-04-06 19:00:00.000,activity,0.5,9.142752880246508
24842,AS14.12,2014-04-10 15:00:00.000,activity,0.675,5.0186991324694645
24959,AS14.12,2014-04-15 12:00:00.000,activity,0.521008403361345,11.03502723813905
25011,AS14.12,2014-04-17 16:00:00.000,activity,0.625,5.567105353831224
25057,AS14.12,2014-04-19 14:00:00.000,activity,0.596638655462185,4.205502243524472
25078,AS14.12,2014-04-20 12:00:00.000,activity,0.525,3.752689503398775
25198,AS14.12,2014-04-25 14:00:00.000,activity,0.504201680672269,5.909649669205505
25299,AS14.12,2014-04-29 19:00:00.000,activity,0.641666666666667,8.550490758011783
25319,AS14.12,2014-04-30 15:00:00.000,activity,0.516666666666667,6.407600049922675
25346,AS14.12,2014-05-01 18:00:00.000,activity,0.563025210084034,11.40574513135732
25349,AS14.12,2014-05-01 21:00:00.000,activity,0.677966101694915,3.3140494270240795
25399,AS14.12,2014-05-04 00:00:00.000,activity,0.638655462184874,3.2053487234881093
738201,AS14.12,2014-03-27 15:15:40.559,appCat.builtin,29.682,8.750333907641043
738431,AS14.12,2014-03-27 17:59:09.427,appCat.builtin,29.483,4.814311340816958
738831,AS14.12,2014-03-27 20:53:46.313,appCat.builtin,23.565,16.893787938399434
739081,AS14.12,2014-03-27 21:45:58.384,appCat.builtin,17.745,4.221290055507864
739271,AS14.12,2014-03-27 23:37:16.734,appCat.builtin,275.647,51.075319393630686
739671,AS14.12,2014-03-28 01:39:42.607,appCat.builtin,24.1,3.8954661203774092
739981,AS14.12,2014-03-28 02:25:01.526,appCat.builtin,21.138,6.889338631446077
740191,AS14.12,2014-03-28 10:35:02.006,appCat.builtin,21.258,3.3539719817130034
740231,AS14.12,2014-03-28 10:40:21.575,appCat.builtin,279.973,70.80727024273816
740401,AS14.12,2014-03-28 11:28:39.871,appCat.builtin,147.75,16.363551457302716
740931,AS14.12,2014-03-28 13:04:41.767,appCat.builtin,1490.145,533.7106123475107
741451,AS14.12,2014-03-28 18:39:04.423,appCat.builtin,25.102,4.583866765028028
741821,AS14.12,2014-03-28 20:09:13.542,appCat.builtin,32.597,4.979322275548186
741901,AS14.12,2014-03-28 20:26:28.630,appCat.builtin,260.35,22.10688206960714
742341,AS14.12,2014-03-28 21:29:24.158,appCat.builtin,37.239,12.7484711805123
742491,AS14.12,2014-03-28 21:41:53.476,appCat.builtin,67.396,22.69805878609139
742781,AS14.12,2014-03-28 23:06:00.204,appCat.builtin,64.38,14.913043948940304
743031,AS14.12,2014-03-28 23:39:29.513,appCat.builtin,19.057,5.240992138505428
743141,AS14.12,2014-03-29 00:03:06.769,appCat.builtin,81.408,16.081640163822602
743711,AS14.12,2014-03-29 10:33:53.029,appCat.builtin,1995.936,480.779800808717
743871,AS14.12,2014-03-29 11:34:48.388,appCat.builtin,63.417,19.196989890726577
744181,AS14.12,2014-03-29 13:46:15.960,appCat.builtin,19.148,9.469702939622206
744531,AS14.12,2014-03-29 14:35:57.209,appCat.builtin,32.591,4.219215608858179
744881,AS14.12,2014-03-29 15:15:42.661,appCat.builtin,42.181,4.435570971713476
745191,AS14.12,2014-03-29 15:46:11.395,appCat.builtin,3318.133,727.9339859680449
745611,AS14.12,2014-03-29 21:30:02.493,appCat.builtin,29.659,3.558879016210125
745751,AS14.12,2014-03-30 01:31:42.684,appCat.builtin,60.231,6.243209911487324
746431,AS14.12,2014-03-30 13:56:26.186,appCat.builtin,19.057,16.114454564049115
746741,AS14.12,2014-03-30 16:36:36.368,appCat.builtin,19.087,5.362592263859527
